Respondent,DFCS,Education,Annual Income,Age of Bld,Period of living,State of Security,Rent p.a,Dist. to work,Dist to place of worship,Dist to shopping,Avail. Of Electricty,Avail. Of Water,Gd. Rd netwk,Avail of Area security,Awareness of d groove,Awareness of gov regulation,Bad Experience due to groove,Ready to relocate?,SEX_M,House Types_3bedrm,House Types_Others,House Types_Tenement,State of Exterior_Good,State of Interior_Good,Nature of Experien_Kidnapping,"Nature of Experien_Others(beating,robbery",Nature of Experien_Rituals,Attitude living close_Indifferent,Attitude living close_Not Comfortable,Reason for living close_Low rent,Reason for living close_No Reason,Reason for living close_Vaccancy possibility,Why u wont build close to site_Env. Characteristics,Why u wont build close to site_Infrastructural Fcailities,Why u wont build close to site_Religious rites,Why u wont build close to site_low rent,Employment_pd employment,Employment_retired,Employment_self employed
89,6,1,4,3,1,4,1,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
90,6,1,4,3,1,4,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
91,6,1,4,3,1,4,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
92,6,1,5,3,1,4,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
93,6,2,5,3,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
94,6,2,5,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
95,6,2,5,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
96,6,2,5,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
97,6,2,5,3,1,3,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
98,6,2,0,3,1,3,2,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
